             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  0.19  0.30  1.01  0.30  1.01  1.01  1.01  0.30  1.01  1.01      |
 | 2  |        0.30        0.69                    0.54                  |
 | 3  |              0.74                                                |
 | 4  |                    0.30                    0.54                  |
 | 5  |                          0.59                                    |
 | 6  |                                0.59                          0.56|
 | 7  |                                      0.55                        |
 | 8  |                                            0.55                  |
 | 9  |                                                  0.55            |
 | 10 |                                                        0.55      |
 | 12 |                                                              0.60|
 +-----------------------------------------------------------------------+
