             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  9.02  6.02  9.02  6.02  6.62  6.02  6.45  6.02  6.34  6.01      |
 | 2  |        5.09        4.51                    4.52                  |
 | 3  |              3.79                                                |
 | 4  |                    3.15                    2.95                  |
 | 5  |                          2.87                                    |
 | 6  |                                2.96                          2.68|
 | 7  |                                      2.92                        |
 | 8  |                                            2.91                  |
 | 9  |                                                  2.91            |
 | 10 |                                                        2.69      |
 | 12 |                                                              2.56|
 +-----------------------------------------------------------------------+
