             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.27  1.01  1.01  1.01  1.01  1.01  1.01  1.01  1.01  1.01      |
 | 2  |        0.81        0.70                    0.54                  |
 | 3  |              0.74                                                |
 | 4  |                    0.70                    0.54                  |
 | 5  |                          0.59                                    |
 | 6  |                                0.56                          0.55|
 | 7  |                                      0.55                        |
 | 8  |                                            0.54                  |
 | 9  |                                                  0.55            |
 | 10 |                                                        0.55      |
 | 12 |                                                              0.56|
 +-----------------------------------------------------------------------+
